,STATION,LATITUDE,LONGITUDE,COUNTS
413,US10doug064,41.3348,-96.366,0
414,US10dund001,40.0535,-101.5336,0
415,US10dund002,40.1135,-101.4065,0
416,US10dund003,40.0194,-101.3384,0
417,US10dund004,40.1626,-101.6806,0
418,US10dund005,40.1765,-101.39,0
419,US10dund006,40.2061,-101.3638,0
420,US10dund007,40.2213,-101.5863,0
421,US10dund008,40.3158,-101.8781,0
422,US10dund009,40.2787,-101.6933,0
423,US10dund010,40.1177,-101.7821,0
424,US10dund011,40.1548,-101.4734,0
425,US10dund013,40.2894,-101.3616,0
426,US10dund014,40.0757,-101.5947,0
427,US10dund015,40.3361,-101.4339,0
428,US10dund016,40.3219,-101.5138,0
429,US10dund017,40.139,-101.8625,0
430,US10dund018,40.3343,-101.3468,0
431,US10dund019,40.1078,-101.5849,0
432,US10dund020,40.3347,-101.3795,0
433,US10dund022,40.2415,-101.7007,0
434,US10dund023,40.12,-101.7334,0
435,US10fill001,40.6386,-97.556,0
436,US10fill002,40.634,-97.5841,0
437,US10fill003,40.3785,-97.73,0
438,US10fill005,40.5402,-97.672,0
439,US10fill006,40.4067,-97.3739,0
440,US10fill007,40.3509,-97.5014,0
441,US10fill008,40.5195,-97.5985,0
442,US10fill010,40.6539,-97.5199,0
443,US10fill011,40.5866,-97.6917,0
444,US10fill012,40.4886,-97.7485,0
445,US10fill014,40.5357,-97.4347,0
446,US10fill015,40.527,-97.5982,0
447,US10fill019,40.4362,-97.483,0
448,US10fran001,40.0747,-98.8176,0
449,US10fran002,40.2732,-99.0295,0
450,US10fran003,40.288,-98.9208,0
451,US10fran004,40.098,-98.9572,0
452,US10fran005,40.0781,-99.1414,0
453,US10fran006,40.2623,-99.1075,0
454,US10fran007,40.2776,-99.1562,0
455,US10fran008,40.1071,-98.9437,0
456,US10fran009,40.2478,-98.8561,0
457,US10fran013,40.0576,-99.1572,0
458,US10fran014,40.3363,-99.0419,0
459,US10fran015,40.0999,-98.9228,0
460,US10fron002,40.5556,-100.4389,0
461,US10fron003,40.3726,-100.4113,0
462,US10fron004,40.6295,-100.5277,0
463,US10fron005,40.3652,-100.3659,0
464,US10fron007,40.6595,-100.6237,0
465,US10fron008,40.631,-100.5159,0
466,US10fron009,40.6199,-100.0473,0
467,US10fron010,40.6901,-100.0995,0
468,US10fron011,40.57,-100.1177,0
469,US10fron012,40.4063,-100.3632,0
470,US10fron014,40.4028,-100.6412,0
471,US10fron015,40.5081,-100.6456,0
472,US10fron016,40.5523,-100.0582,0
473,US10fron017,40.3882,-100.1712,0
474,US10fron018,40.5422,-100.2858,0
475,US10fron019,40.5021,-100.5022,0
476,US10furn001,40.3021,-100.1547,0
477,US10furn002,40.2928,-99.6693,0
478,US10furn003,40.1823,-99.8051,0
479,US10furn004,40.0502,-99.8189,0
480,US10furn005,40.3073,-99.982,0
481,US10furn006,40.0096,-99.9996,0
482,US10furn007,40.0732,-99.6668,0
483,US10furn008,40.0887,-99.892,0
484,US10furn009,40.2179,-100.0153,0
485,US10furn010,40.1478,-99.8943,0
486,US10furn014,40.133,-99.8238,0
487,US10furn015,40.2463,-99.9516,0
488,US10furn018,40.2499,-99.6375,0
489,US10furn019,40.2596,-99.7367,0
490,US10furn020,40.1145,-100.1042,0
491,US10furn022,40.3083,-99.9056,0
492,US10furn024,40.2215,-100.1086,0
493,US10furn025,40.2854,-100.179,0
494,US10furn031,40.0451,-100.0164,0
495,US10gage001,40.2847,-96.7429,0
496,US10gage002,40.2799,-96.7359,0
497,US10gage003,40.0525,-96.5774,0
498,US10gage004,40.3063,-96.875,0
499,US10gage007,40.0305,-96.8817,0
500,US10gage008,40.3642,-96.6782,0
501,US10gage009,40.0086,-96.7029,0
502,US10gage012,40.5008,-96.7049,0
503,US10gage013,40.2911,-96.5367,0
504,US10gage015,40.1312,-96.6284,0
505,US10gage017,40.2143,-96.5954,0
506,US10gage018,40.0445,-96.5112,0
507,US10gage020,40.377,-96.9086,0
508,US10gage021,40.4678,-96.829,0
509,US10gage022,40.118,-96.879,0
510,US10gage023,40.0731,-96.7611,0
511,US10gage025,40.5039,-96.5896,0
512,US10gage026,40.453,-96.5099,0
513,US10gage033,40.4606,-96.5115,0
514,US10gage035,40.267,-96.7144,0
515,US10gage044,40.4914,-96.5204,0
516,US10gage045,40.4437,-96.5323,0
517,US10gard002,41.4093,-102.4439,0
518,US10gard003,41.3342,-102.5328,0
519,US10gard004,41.4114,-102.346,0
520,US10gard007,41.8016,-102.5544,0
521,US10gard008,41.2437,-102.5323,0
522,US10gard009,41.3366,-102.1023,0
523,US10gard010,41.9762,-102.3879,0
524,US10gard011,41.4039,-102.3447,0
525,US10gard016,41.2373,-102.4249,0
526,US10gard019,41.388,-102.179,0
527,US10gard020,41.3456,-102.0836,0
528,US10gard021,41.4377,-102.4345,0
529,US10garf001,41.7952,-99.1076,0
530,US10garf002,42.022,-98.9171,0
531,US10garf003,41.8614,-99.0989,0
532,US10garf004,42.058,-98.9925,0
533,US10garf005,42.0123,-98.899,0
534,US10garf006,41.7862,-99.1309,0
535,US10garf007,41.7223,-99.02,0
536,US10garf009,41.7533,-99.1485,0
537,US10garf010,41.8256,-99.1867,0
538,US10garf011,41.9688,-99.1466,0
539,US10gosp001,40.3974,-99.6763,0
540,US10gosp002,40.4379,-99.8351,0
541,US10gosp003,40.34,-99.5716,0
542,US10gosp004,40.3873,-99.973,0
543,US10gosp006,40.4087,-99.6633,0
544,US10gran003,41.8177,-101.4405,0
545,US10gran004,41.9685,-102.024,0
546,US10gran008,41.971,-101.4603,0
547,US10gran009,41.9993,-101.7542,0
548,US10gran010,41.8993,-101.9545,0
549,US10gran011,41.8507,-101.446,0
550,US10gran013,41.9721,-101.4685,0
551,US10gree002,41.6883,-98.3615,0
552,US10gree003,41.4238,-98.6947,0
553,US10gree004,41.4663,-98.6272,0
554,US10gree005,41.4632,-98.4799,0
555,US10gree006,41.6563,-98.7329,0
556,US10gree007,41.6869,-98.3657,0
557,US10gree009,41.7076,-98.4852,0
558,US10gree010,41.582,-98.6543,0
559,US10gree011,41.581,-98.3857,0
560,US10gree012,41.4611,-98.4383,0
561,US10hall001,40.9294,-98.3767,0
562,US10hall002,40.9187,-98.3863,0
563,US10hall003,40.9407,-98.3474,0
564,US10hall004,40.8585,-98.3781,0
565,US10hall005,40.7874,-98.3029,0
566,US10hall006,41.0376,-98.6071,0
567,US10hall007,41.018,-98.3042,0
568,US10hall008,40.8229,-98.5984,0
569,US10hall009,40.7734,-98.4137,0
570,US10hall010,40.7467,-98.579,0
571,US10hall011,41.0018,-98.6143,0
572,US10hall012,40.8745,-98.5746,0
