"","STATION","LATITUDE","LONGITUDE"
"509","USC00144712",39.0294,-98.13
"510","USC00144972",39.1972,-96.5814
"511","USC00145152",38.3772,-97.6097
"512","USC00145363",39.1247,-97.7047
"513","USC00145744",38.0231,-97.3553
"514","USC00145888",39.1131,-100.9447
"515","USC00145906",39.8228,-100.5164
"516","USC00146128",38.6133,-95.2808
"517","USC00146242",37.3678,-95.2881
"518","USC00146435",39.245,-99.3808
"519","USC00146549",37.6731,-98.7761
"520","USC00146637",39.0667,-100.2389
"521","USC00147093",39.7675,-101.8067
"522","USC00147271",38.4747,-100.9175
"523","USC00147305",37.1322,-96.18
"524","USC00147922",37.4414,-100.9792
"525","USC00148038",37.9928,-101.7417
"526","USC00148235",38.4661,-101.7731
"527","USC00148287",37.5983,-101.2908
"528","USC00148495",39.0147,-99.8722
"529","USC00148563",39.2142,-96.37
"530","USC00148670",37.2678,-97.4194
"531","USC00148964",37.2886,-96.9408
"532","USC00150254",38.4536,-82.6131
"533","USC00152040",37.6514,-84.7628
"534","USC00152791",38.1228,-83.5328
"535","USC00153430",37.2572,-85.5011
"536","USC00153762",37.7558,-87.6456
"537","USC00154703",37.5108,-86.2892
"538","USC00155097",37.1317,-86.1481
"539","USC00155243",38.6869,-83.7872
"540","USC00155694",36.6122,-88.3011
"541","USC00160098",31.3206,-92.4611
"542","USC00160537",32.7314,-91.9144
"543","USC00161411",32.5372,-92.3597
"544","USC00161565",30.1981,-91.1256
"545","USC00162534",30.0719,-91.0278
"546","USC00163313",29.8233,-91.5442
"547","USC00163979",29.8894,-93.4019
"548","USC00165090",32.8067,-91.173
"549","USC00165266",31.1417,-93.2397
"550","USC00166394",29.6833,-91.1761
"551","USC00168067",32.51,-92.6503
"552","USC00168163",31.9497,-91.2336
"553","USC00168923",32.3994,-91.1842
"554","USC00169806",32.0997,-91.7022
"555","USC00170480",44.3953,-68.9894
"556","USC00172765",44.6894,-70.1564
"557","USC00172878",47.2386,-68.6119
"558","USC00173046",44.2203,-69.7889
"559","USC00174927",44.7975,-69.8889
"560","USC00176937",46.6539,-68.0089
"561","USC00179891",45.1542,-67.3986
"562","USC00181750",39.2167,-76.0519
"563","USC00181790",39.6403,-77.6978
"564","USC00186620",39.4131,-79.4003
"565","USC00188000",38.365,-75.5892
"566","USC00188380",38.2317,-75.3761
"567","USC00190120",42.3861,-72.5375
"568","USC00190736",42.2122,-71.1136
"569","USC00190860",42.0475,-71.0081
"570","USC00192451",41.7653,-70.6697
"571","USC00192501",41.3853,-70.5181
"572","USC00194105",42.6992,-71.1658
"573","USC00194744",42.5933,-71.0186
"574","USC00196486",41.9819,-70.6961
"575","USC00200032",41.9164,-84.0164
"576","USC00200146",43.3869,-84.6481
"577","USC00200417",43.8081,-82.9939
"578","USC00200446",43.9006,-85.8506
"579","USC00200710",42.1244,-86.4267
"580","USC00200864",42.3839,-85.9625
"581","USC00201476",42.55,-84.825
"582","USC00201492",45.6522,-84.4725
"583","USC00201675",41.9622,-84.9925
"584","USC00202381",45.1517,-85.1325
"585","USC00202423",44.2839,-83.5036
"586","USC00202445",42.0153,-86.243
"587","USC00203391",44.6547,-84.6997
"588","USC00203429",43.2025,-85.2422
"589","USC00203504",42.3942,-85.385
"590","USC00203529",44.4633,-83.7217
"591","USC00203661",42.6419,-85.2881
"592","USC00203823",41.9353,-84.6411
"593","USC00203858",42.7989,-86.205
"594","USC00203932",44.3119,-84.8922
"595","USC00204104",46.4656,-90.1892
"596","USC00204502",44.3089,-85.205
"597","USC00204954",43.9067,-86.3942
"598","USC00205073",45.9511,-86.2514
"599","USC00205452",42.5794,-83.6844
"600","USC00206184",45.4108,-84.2233
"601","USC00206300",43.0161,-84.18
"602","USC00206680",42.975,-82.4194
"603","USC00207280",43.0128,-84.5547
"604","USC00207690",42.4014,-86.2825
"605","USC00207812",46.0556,-88.6275
"606","USC00207820",44.0125,-83.8978
"607","USC00208184",41.93,-85.6386
"608","USC00208417",45.1703,-84.4397
"609","USC00208800",44.2542,-84.2011
"610","USC00210018",47.2992,-96.5161
"611","USC00210075",43.6064,-93.3019
"612","USC00210287",45.3856,-96.1258
"613","USC00210355",43.6542,-92.9739
"614","USC00210746",48.1969,-93.7994
"615","USC00211263",44.7183,-96.2697
"616","USC00211630",46.7053,-92.5239
"617","USC00211891",47.8186,-96.6139
"618","USC00212142",46.8372,-95.8375
"619","USC00212698",43.6447,-94.4656
"620","USC00213282",47.7517,-90.3283
"621","USC00213290",43.7047,-92.5644
"622","USC00213303",47.2436,-93.4975
"623","USC00214106",47.2256,-95.1919
"624","USC00214652",47.2467,-94.2228
"625","USC00214778",45.1281,-94.5347
"626","USC00214793",46.0039,-94.345
"627","USC00214861",45.9647,-94.8892
"628","USC00214994",45.0022,-96.1661
"629","USC00215204",44.4717,-95.7903
"630","USC00215392",45.7533,-93.6617
"631","USC00215400",45.1219,-95.9269
"632","USC00215563",44.9342,-95.7458
"633","USC00215598",46.4378,-92.7578
"634","USC00215615",45.8775,-93.3147
"635","USC00215638",45.59,-95.8744
"636","USC00216547",46.6694,-94.1089
"637","USC00216565",44.0139,-96.3258
"638","USC00216612",47.2508,-93.5861
"639","USC00216787",47.8794,-96.2844
"640","USC00217405",44.3222,-93.9656
"641","USC00217460",46.7953,-93.3211
"642","USC00218419",47.0258,-91.6653
"643","USC00218579",46.3939,-95.1494
"644","USC00218679",48.8947,-95.3303
"645","USC00218692",44.0708,-93.5264
"646","USC00218907",45.8081,-96.5042
"647","USC00219033",43.8769,-95.1158
"648","USC00219046",43.7639,-94.1661
"649","USC00219249",44.2997,-92.6656
"650","USC00220021",33.83,-88.5214
"651","USC00220488",34.3061,-89.9806
"652","USC00220660",33.1772,-90.4919
"653","USC00220792",30.3931,-89.0008
"654","USC00220955",34.6344,-88.5622
"655","USC00221094",31.5447,-90.4581
"656","USC00221389",32.6714,-90.0361
"657","USC00221707",34.1864,-90.5572
"658","USC00221865",31.2503,-89.8361
"659","USC00221962",34.8792,-88.6178
"660","USC00222896",33.5628,-89.2358
"661","USC00223107",32.36,-89.4208
"662","USC00223605",33.3592,-91.06
"663","USC00223887",31.2547,-89.3392
"664","USC00223975",34.8039,-90.0103
"665","USC00224776",33.0583,-89.5797
"666","USC00224939",31.6756,-89.1236
"667","USC00225247",33.1356,-89.0711
"668","USC00225987",31.5519,-90.1058
"669","USC00226009",33.4517,-90.5097
"670","USC00226177",31.5889,-91.3408
"671","USC00227128",30.8408,-89.5453
"672","USC00227132",31.985,-90.9719
"673","USC00228374",33.4692,-88.7822
"674","USC00228445",33.4311,-90.9108
"675","USC00229079",34.3725,-89.5308
"676","USC00229400",34.1583,-89.6311
"677","USC00230204",38.1894,-94.0244
"678","USC00230608",40.2575,-94.0269
"679","USC00230789",37.6164,-93.3914
"680","USC00230980",39.765,-93.0594
"681","USC00231037",39.4247,-93.1331
"682","USC00231145",38.2611,-94.405
"683","USC00231275",40.1439,-91.5158
"684","USC00231340",39.3594,-93.4886
"685","USC00231674",37.1319,-90.7756
"686","USC00231711",38.395,-93.7711
"687","USC00231822",40.2394,-94.6833
"688","USC00232289",36.6206,-90.8125
"689","USC00232503",38.3486,-92.5811
"690","USC00232591",39.1558,-90.7831
"691","USC00232809",37.7919,-90.4097
"692","USC00233079",38.8483,-91.9419
"693","USC00233601",39.7231,-91.3747
"694","USC00234226",37.3781,-89.6678
"695","USC00234271",38.5847,-92.1831
"696","USC00234544",40.2058,-92.5747
"697","USC00234694",38.2042,-92.6233
"698","USC00234705",37.5983,-94.2842
"699","USC00234825",37.685,-92.6939
"700","USC00234919",37.5544,-91.8833
